origin_country,origin_name,destination_country,destination_name,total_exchanges
FRA,France,FRA,France,66757
ESP,Spain,ESP,Spain,24980
USA,United States,USA,United States,21977
FRA,France,ESP,Spain,6995
ESP,Spain,FRA,France,6003
CAN,Canada,CAN,Canada,5342
ITA,Italy,ITA,Italy,4889
FRA,France,ITA,Italy,3067
FRA,France,USA,United States,2151
NLD,Netherlands,NLD,Netherlands,2052
AUS,Australia,AUS,Australia,2048
ITA,Italy,FRA,France,1874
NLD,Netherlands,FRA,France,1736
DEU,Germany,DEU,Germany,1709
FRA,France,CAN,Canada,1697
USA,United States,FRA,France,1685
CAN,Canada,USA,United States,1587
BEL,Belgium,FRA,France,1559
ESP,Spain,ITA,Italy,1499
DEU,Germany,FRA,France,1321
FRA,France,NLD,Netherlands,1319
GBR,United Kingdom,GBR,United Kingdom,1295
FRA,France,BEL,Belgium,1218
CAN,Canada,FRA,France,1189
ITA,Italy,ESP,Spain,1188
ESP,Spain,USA,United States,1104
FRA,France,DEU,Germany,1096
USA,United States,ESP,Spain,1032
BEL,Belgium,BEL,Belgium,991
USA,United States,CAN,Canada,979
USA,United States,MEX,Mexico,951
ESP,Spain,DEU,Germany,915
FRA,France,CHE,Switzerland,865
NLD,Netherlands,ESP,Spain,865
CHE,Switzerland,FRA,France,808
ESP,Spain,PRT,Portugal,789
FRA,France,GBR,United Kingdom,782
GBR,United Kingdom,FRA,France,754
DEU,Germany,ESP,Spain,730
IRL,Ireland,IRL,Ireland,711
ESP,Spain,NLD,Netherlands,698
MEX,Mexico,USA,United States,685
FRA,France,GLP,Guadeloupe,667
ESP,Spain,GBR,United Kingdom,661
GLP,Guadeloupe,FRA,France,630
USA,United States,ITA,Italy,599
FRA,France,REU,Reunion,593
NLD,Netherlands,DEU,Germany,575
FRA,France,PRT,Portugal,572
GBR,United Kingdom,ESP,Spain,554
MEX,Mexico,MEX,Mexico,542
REU,Reunion,FRA,France,537
NLD,Netherlands,BEL,Belgium,526
CHE,Switzerland,CHE,Switzerland,523
DEU,Germany,ITA,Italy,523
NZL,New Zealand,NZL,New Zealand,506
PRT,Portugal,ESP,Spain,501
ITA,Italy,USA,United States,493
DNK,Denmark,DNK,Denmark,491
DNK,Denmark,FRA,France,460
ARG,Argentina,ARG,Argentina,442
DEU,Germany,NLD,Netherlands,422
GBR,United Kingdom,USA,United States,414
CAN,Canada,ESP,Spain,413
ESP,Spain,BEL,Belgium,403
USA,United States,GBR,United Kingdom,399
BRA,Brazil,BRA,Brazil,397
FRA,France,DNK,Denmark,396
PRT,Portugal,FRA,France,381
BEL,Belgium,NLD,Netherlands,380
NLD,Netherlands,ITA,Italy,377
ITA,Italy,DEU,Germany,373
FRA,France,IRL,Ireland,368
BEL,Belgium,ESP,Spain,366
CRI,Costa Rica,USA,United States,364
IRL,Ireland,FRA,France,344
IRL,Ireland,ESP,Spain,337
ESP,Spain,IRL,Ireland,333
MAR,Morocco,FRA,France,328
MTQ,Martinique,FRA,France,324
ITA,Italy,NLD,Netherlands,319
DNK,Denmark,DEU,Germany,315
PRT,Portugal,PRT,Portugal,309
FRA,France,MAR,Morocco,306
NLD,Netherlands,USA,United States,302
DEU,Germany,USA,United States,294
ESP,Spain,CAN,Canada,294
FRA,France,MEX,Mexico,285
USA,United States,NLD,Netherlands,285
FRA,France,MTQ,Martinique,277
FRA,France,SWE,Sweden,276
DEU,Germany,DNK,Denmark,276
FRA,France,GRC,Greece,266
CAN,Canada,MEX,Mexico,263
ESP,Spain,CHE,Switzerland,263
FRA,France,ISL,Iceland,262
ESP,Spain,MEX,Mexico,259
ESP,Spain,DNK,Denmark,256
USA,United States,CRI,Costa Rica,255
AUS,Australia,GBR,United Kingdom,250
FRA,France,AUS,Australia,244
FRA,France,NOR,Norway,241
DNK,Denmark,ESP,Spain,240
USA,United States,DEU,Germany,231
AUS,Australia,FRA,France,222
ESP,Spain,AUT,Austria,220
ITA,Italy,GBR,United Kingdom,219
FRA,France,AUT,Austria,217
ZAF,South Africa,ZAF,South Africa,211
ESP,Spain,HUN,Hungary,209
CAN,Canada,ITA,Italy,207
GBR,United Kingdom,ITA,Italy,205
